stop_id,feature_type,feature_name
105,6000,Crosswalk near stop
105,6000,Curb ramp near stop
105,6000,Pavement at front door
105,6000,Sidewalk at stop
105,6000,Traffic signal
106,6000,Pavement at back door
106,6000,Schedule display
106,6000,Bench near stop
106,6000,Crosswalk near stop
106,6000,Curb ramp near stop
106,6000,Pavement at front door
106,6000,Sidewalk at stop
106,6000,Garbage Can
108,6000,Pavement at back door
108,6000,Schedule display
108,6000,Curb ramp near stop
108,6000,Pavement at front door
108,6000,Sidewalk at stop
111,6000,Pavement at back door
111,6000,Crosswalk near stop
111,6000,Curb ramp near stop
111,6000,Pavement at front door
111,6000,Lighting at stop
111,6000,Sidewalk at stop
111,6000,Traffic signal
112,6000,Pavement at back door
112,6000,Crosswalk near stop
112,6000,Pavement at front door
112,6000,Lighting at stop
112,6000,Sidewalk at stop
112,6000,Traffic signal
113,6000,Pavement at back door
113,6000,Schedule display
113,6000,Bench near stop
113,6000,Pavement at front door
113,6000,Sidewalk at stop
114,6000,Pavement at back door
114,6000,Schedule display
114,6000,Curb ramp near stop
114,6000,Pavement at front door
114,6000,Lighting at stop
114,6000,Sidewalk at stop
115,6000,Pavement at back door
115,6000,Schedule display
115,6000,Schedule display
115,6000,Bench near stop
115,6000,Bench near stop
115,6000,Bench near stop
115,6000,Crosswalk near stop
115,6000,Curb ramp near stop
115,6000,Pavement at front door
115,6000,Lighting at stop
115,6000,Lighting at stop
115,6000,Shelter
115,6000,Sidewalk at stop
115,6000,Garbage Can
115,6000,Garbage Can
115,6000,Garbage Can
115,6000,Traffic signal
118,6000,Pavement at back door
118,6000,Schedule display
118,6000,Pavement at front door
118,6000,Lighting at stop
118,6000,Sidewalk at stop
121,6000,Pavement at back door
121,6000,Schedule display
121,6000,Bench near stop
121,6000,Curb ramp near stop
121,6000,Pavement at front door
121,6000,Lighting at stop
121,6000,Sidewalk at stop
121,6000,Garbage Can
122,6000,Schedule display
122,6000,Curb ramp near stop
122,6000,Sidewalk at stop
123,6000,Schedule display
123,6000,Bench near stop
123,6000,Curb ramp near stop
123,6000,Lighting at stop
123,6000,Sidewalk at stop
124,6000,Schedule display
124,6000,Lighting at stop
124,6000,Sidewalk at stop
125,6000,Schedule display
125,6000,Curb ramp near stop
125,6000,Sidewalk at stop
126,6000,Schedule display
126,6000,Sidewalk at stop
131,6000,Schedule display
131,6000,Lighting at stop
131,6000,Sidewalk at stop
132,6000,Schedule display
132,6000,Lighting at stop
132,6000,Sidewalk at stop
133,6000,Schedule display
133,6000,Lighting at stop
133,6000,Sidewalk at stop
134,6000,Schedule display
134,6000,Lighting at stop
134,6000,Sidewalk at stop
135,6000,Pavement at back door
135,6000,Schedule display
135,6000,Pavement at front door
135,6000,Sidewalk at stop
136,6000,Schedule display
136,6000,Bench near stop
136,6000,Curb ramp near stop
136,6000,Lighting at stop
136,6000,Sidewalk at stop
136,6000,Garbage Can
137,6000,Schedule display
137,6000,Curb ramp near stop
137,6000,Sidewalk at stop
137,6000,Garbage Can
140,6000,Pavement at back door
140,6000,Schedule display
140,6000,Bench near stop
140,6000,Pavement at front door
140,6000,Sidewalk at stop
141,6000,Pavement at back door
141,6000,Schedule display
141,6000,Pavement at front door
141,6000,Sidewalk at stop
142,6000,Pavement at back door
142,6000,Schedule display
142,6000,Bench near stop
142,6000,Crosswalk near stop
142,6000,Curb ramp near stop
142,6000,Pavement at front door
142,6000,Shelter
142,6000,Sidewalk at stop
142,6000,Traffic signal
143,6000,Pavement at back door
143,6000,Schedule display
143,6000,Schedule display
143,6000,Bench near stop
143,6000,Bench near stop
143,6000,Crosswalk near stop
143,6000,Curb ramp near stop
143,6000,Pavement at front door
143,6000,Lighting at stop
143,6000,Shelter
143,6000,Sidewalk at stop
143,6000,Traffic signal
146,6000,Pavement at back door
146,6000,Schedule display
146,6000,Bike rack at stop
146,6000,Bench near stop
146,6000,Crosswalk near stop
146,6000,Curb ramp near stop
146,6000,Pavement at front door
146,6000,Lighting at stop
146,6000,Shelter
146,6000,Sidewalk at stop
146,6000,Garbage Can
147,6000,Schedule display
147,6000,Crosswalk near stop
147,6000,Curb ramp near stop
147,6000,Lighting at stop
147,6000,Sidewalk at stop
150,6000,Pavement at back door
150,6000,Schedule display
150,6000,Bench near stop
150,6000,Curb ramp near stop
150,6000,Pavement at front door
150,6000,Lighting at stop
150,6000,Sidewalk at stop
150,6000,Garbage Can
152,6000,Pavement at back door
152,6000,Schedule display
152,6000,Pavement at front door
152,6000,Lighting at stop
152,6000,Sidewalk at stop
153,6000,Schedule display
153,6000,Lighting at stop
154,6000,Pavement at back door
154,6000,Schedule display
154,6000,Pavement at front door
154,6000,Lighting at stop
154,6000,Sidewalk at stop
155,6000,Pavement at back door
155,6000,Schedule display
155,6000,Bench near stop
155,6000,Crosswalk near stop
155,6000,Curb ramp near stop
155,6000,Pavement at front door
155,6000,Lighting at stop
155,6000,Lighting at stop
155,6000,Shelter
155,6000,Sidewalk at stop
155,6000,Garbage Can
156,6000,Pavement at back door
156,6000,Schedule display
156,6000,Crosswalk near stop
156,6000,Curb ramp near stop
156,6000,Pavement at front door
156,6000,Lighting at stop
156,6000,Sidewalk at stop
