service_id,date,exception_type
Y.497,20171231,1
p.497,20180301,1
p.497,20180228,1
p.497,20180227,1
p.497,20180226,1
p.497,20180222,1
p.497,20180221,1
p.497,20180220,1
p.497,20180219,1
p.497,20180215,1
p.497,20180214,1
p.497,20180213,1
p.497,20180212,1
p.497,20180208,1
p.497,20180207,1
p.497,20180206,1
p.497,20180205,1
p.497,20180201,1
p.497,20180131,1
p.497,20180130,1
p.497,20180129,1
p.497,20180125,1
p.497,20180124,1
p.497,20180123,1
p.497,20180122,1
p.497,20180118,1
p.497,20180117,1
p.497,20180116,1
p.497,20180111,1
p.497,20180110,1
p.497,20180109,1
p.497,20180108,1
p.497,20180104,1
p.497,20180103,1
p.497,20180102,1
p.497,20171228,1
p.497,20171227,1
p.497,20171226,1
p.497,20171221,1
p.497,20171220,1
p.497,20171219,1
p.497,20171218,1
p.497,20171214,1
p.497,20171213,1
p.497,20171212,1
p.497,20171211,1
p.497,20171207,1
p.497,20171206,1
p.497,20171205,1
p.497,20171204,1
7.497,20180302,1
7.497,20180301,1
7.497,20180228,1
7.497,20180227,1
7.497,20180226,1
7.497,20180223,1
7.497,20180222,1
7.497,20180221,1
7.497,20180220,1
7.497,20180216,1
7.497,20180215,1
7.497,20180214,1
7.497,20180213,1
7.497,20180212,1
7.497,20180209,1
7.497,20180208,1
7.497,20180207,1
7.497,20180206,1
7.497,20180205,1
7.497,20180202,1
7.497,20180201,1
7.497,20180131,1
7.497,20180130,1
7.497,20180129,1
7.497,20180126,1
7.497,20180125,1
7.497,20180124,1
7.497,20180123,1
7.497,20180122,1
7.497,20180119,1
7.497,20180118,1
7.497,20180117,1
7.497,20180116,1
7.497,20180112,1
7.497,20180111,1
7.497,20180110,1
7.497,20180109,1
7.497,20180108,1
7.497,20180105,1
7.497,20180104,1
7.497,20180103,1
7.497,20180102,1
7.497,20171229,1
7.497,20171228,1
7.497,20171227,1
7.497,20171226,1
7.497,20171222,1
7.497,20171221,1
7.497,20171220,1
7.497,20171219,1
7.497,20171218,1
7.497,20171215,1
7.497,20171214,1
7.497,20171213,1
7.497,20171212,1
7.497,20171211,1
7.497,20171208,1
7.497,20171207,1
7.497,20171206,1
7.497,20171205,1
7.497,20171204,1
8.497,20180303,1
8.497,20180224,1
8.497,20180217,1
8.497,20180210,1
8.497,20180203,1
8.497,20180127,1
8.497,20180120,1
8.497,20180113,1
8.497,20180106,1
8.497,20171230,1
8.497,20171223,1
8.497,20171216,1
8.497,20171209,1
W.501,20171201,1
W.501,20171130,1
W.501,20171129,1
W.501,20171128,1
W.501,20171127,1
W.501,20171124,1
W.501,20171122,1
W.501,20171121,1
W.501,20171120,1
W.501,20171117,1
W.501,20171116,1
W.501,20171115,1
W.501,20171114,1
W.501,20171113,1
W.501,20171110,1
W.501,20171109,1
W.501,20171108,1
W.501,20171107,1
W.501,20171106,1
X.501,20171123,1
S.501,20171202,1
S.501,20171125,1
S.501,20171118,1
S.501,20171111,1
U.501,20171126,1
U.501,20171119,1
U.501,20171112,1
U.501,20171105,1
e.501,20171201,1
e.501,20171130,1
e.501,20171129,1
e.501,20171128,1
e.501,20171127,1
e.501,20171121,1
e.501,20171120,1
e.501,20171117,1
e.501,20171116,1
e.501,20171115,1
e.501,20171114,1
e.501,20171113,1
e.501,20171107,1
e.501,20171106,1
A.501,20171201,1
A.501,20171130,1
A.501,20171129,1
A.501,20171128,1
A.501,20171127,1
A.501,20171124,1
A.501,20171122,1
A.501,20171121,1
A.501,20171120,1
A.501,20171117,1
A.501,20171116,1
A.501,20171115,1
A.501,20171114,1
A.501,20171113,1
A.501,20171110,1
A.501,20171109,1
A.501,20171108,1
A.501,20171107,1
A.501,20171106,1
B.501,20171202,1
B.501,20171125,1
B.501,20171118,1
B.501,20171111,1
C.501,20171126,1
C.501,20171119,1
C.501,20171112,1
C.501,20171105,1
D.501,20171201,1
D.501,20171130,1
D.501,20171129,1
D.501,20171128,1
D.501,20171127,1
D.501,20171124,1
D.501,20171122,1
D.501,20171121,1
D.501,20171120,1
D.501,20171117,1
D.501,20171116,1
D.501,20171115,1
D.501,20171114,1
D.501,20171113,1
D.501,20171110,1
D.501,20171109,1
D.501,20171108,1
D.501,20171107,1
D.501,20171106,1
E.501,20171202,1
E.501,20171125,1
E.501,20171118,1
E.501,20171111,1
F.501,20171126,1
F.501,20171119,1
F.501,20171112,1
F.501,20171105,1
P.501,20171201,1
P.501,20171124,1
P.501,20171117,1
P.501,20171110,1
p.501,20171130,1
p.501,20171129,1
p.501,20171128,1
p.501,20171127,1
p.501,20171122,1
p.501,20171121,1
p.501,20171120,1
p.501,20171116,1
p.501,20171115,1
p.501,20171114,1
p.501,20171113,1
p.501,20171109,1
p.501,20171108,1
p.501,20171107,1
p.501,20171106,1
U.500,20171029,1
U.500,20171022,1
W.500,20171103,1
W.500,20171102,1
W.500,20171101,1
W.500,20171031,1
W.500,20171030,1
W.500,20171027,1
W.500,20171026,1
W.500,20171025,1
W.500,20171024,1
W.500,20171023,1
S.500,20171104,1
S.500,20171028,1
e.500,20171103,1
e.500,20171102,1
e.500,20171101,1
e.500,20171031,1
e.500,20171030,1
e.500,20171027,1
e.500,20171026,1
e.500,20171025,1
e.500,20171024,1
e.500,20171023,1
C.500,20171029,1
C.500,20171022,1
P.500,20171103,1
P.500,20171027,1
D.500,20171103,1
D.500,20171102,1
D.500,20171101,1
D.500,20171031,1
D.500,20171030,1
D.500,20171027,1
D.500,20171026,1
D.500,20171025,1
D.500,20171024,1
D.500,20171023,1
E.500,20171104,1
E.500,20171028,1
F.500,20171029,1
F.500,20171022,1
A.500,20171103,1
A.500,20171102,1
A.500,20171101,1
A.500,20171031,1
A.500,20171030,1
A.500,20171027,1
A.500,20171026,1
A.500,20171025,1
A.500,20171024,1
A.500,20171023,1
B.500,20171104,1
B.500,20171028,1
p.500,20171102,1
p.500,20171101,1
p.500,20171031,1
p.500,20171030,1
p.500,20171026,1
p.500,20171025,1
p.500,20171024,1
p.500,20171023,1
