from_stop_id,to_stop_id,transfer_type
814,7937,0
832,8746,0
832,8747,0
832,13316,0
832,13532,0
838,838,0
838,839,0
838,6847,0
838,6848,0
839,838,0
839,845,0
845,839,0
845,6847,0
845,6848,0
852,7156,0
855,7156,0
923,168,0
923,923,0
923,10952,0
929,929,0
929,955,0
929,5552,0
930,930,0
930,5697,0
930,9320,0
930,10935,0
955,929,0
955,955,0
955,5552,0
956,956,0
956,957,0
956,5788,0
956,5789,0
957,956,0
957,957,0
957,5788,0
957,5789,0
965,965,0
965,966,0
966,965,0
966,966,0
1019,4369,0
1019,4370,0
1020,4369,0
1020,4370,0
1041,115,0
1050,6374,0
1050,10611,0
1068,1068,0
1097,1097,0
1097,2592,0
1097,8340,0
1097,8377,0
1097,11507,0
1097,11508,0
1097,11813,0
1097,11814,0
1097,11817,0
1108,1108,0
1108,3049,0
1108,10759,0
1108,10760,0
1108,10765,0
1114,3052,0
1114,3054,0
1114,5006,0
1114,10117,0
1114,10118,0
1114,12792,0
1129,3603,0
1129,3604,0
1140,172,0
1140,173,0
1141,172,0
1141,173,0
1147,3603,0
1147,3604,0
1163,1163,0
1163,1172,0
1163,1183,0
1172,1163,0
1172,1172,0
1182,1182,0
1182,1183,0
1182,13267,0
1183,1182,0
1183,1183,0
1183,13267,0
1187,1187,0
1187,1188,0
1188,1187,0
1196,1196,0
1196,1199,0
1199,1196,0
1199,1199,0
1214,1214,0
1218,1218,0
1220,3138,0
1226,1225,0
1226,1226,0
1226,1230,0
1229,1226,0
1230,1230,0
1230,3127,0
1259,4462,0
1259,4463,0
1273,1273,0
1273,5903,0
1273,5904,0
1277,6780,0
1277,6794,0
1278,6780,0
1278,6794,0
1285,1286,0
1285,7240,0
1286,1285,0
1286,1286,0
1286,7240,0
1289,7369,0
1289,7370,0
1290,7369,0
1290,7370,0
1293,1293,0
1293,5903,0
1293,5904,0
1331,8356,0
1331,8361,0
1332,8356,0
1332,8361,0
1375,6545,0
1375,6578,0
1376,6545,0
1376,6578,0
1379,6630,0
1379,6631,0
1381,6630,0
1381,6631,0
1427,6935,0
1427,6936,0
1428,6935,0
1428,6936,0
1435,3301,0
1435,7110,0
1458,7445,0
1458,7446,0
1459,7445,0
1459,7446,0
1469,7654,0
1469,7655,0
1470,7654,0
1470,7655,0
1471,7678,0
1471,7679,0
1472,7678,0
1472,7679,0
1497,1499,0
1497,7957,0
1497,7958,0
1499,7957,0
1499,7958,0
1519,2467,0
1550,7960,0
1551,7960,0
1551,7961,0
1579,8356,0
1579,8361,0
1580,12867,0
1580,12868,0
1581,12867,0
1581,12868,0
1606,9299,0
1606,13178,0
1612,8339,0
1612,8378,0
1651,1651,0
1651,1652,0
1652,1651,0
1652,1652,0
1660,4068,0
1660,4069,0
1661,4068,0
1661,4069,0
1665,8262,0
1682,1682,0
1682,1683,0
1683,1682,0
1712,1712,0
1712,1713,0
1713,1712,0
1713,1713,0
1759,7962,0
1759,7963,0
1760,7962,0
1760,7963,0
1764,13129,0
1764,13134,0
1765,10307,0
1766,1766,0
1778,2746,0
1778,2747,0
1787,1787,0
1787,6626,0
1792,4664,0
1792,4666,0
1792,4668,0
1793,7683,0
1793,7684,0
1794,7683,0
1794,7684,0
1818,1818,0
1818,1819,0
1818,7964,0
1818,7965,0
1818,8664,0
1819,1818,0
1819,7964,0
1819,7965,0
1831,1831,0
1831,6398,0
1831,13128,0
1831,13135,0
1831,13236,0
1846,5910,0
1846,5911,0
1847,5910,0
1847,5911,0
1848,6360,0
1856,6785,0
1856,6786,0
1857,6785,0
1857,6786,0
1862,7190,0
1862,7191,0
1863,7190,0
1863,7191,0
1870,7373,0
1870,7374,0
1871,7373,0
1871,7374,0
1876,7501,0
1876,7512,0
1877,7501,0
1877,7512,0
1890,7732,0
1891,7732,0
1903,5045,0
1903,5125,0
1910,7966,0
1910,7967,0
1911,7966,0
1911,7967,0
1926,1926,0
1926,1927,0
1927,1926,0
1927,1927,0
1930,1929,0
1930,1930,0
1930,6480,0
1930,6481,0
1947,1947,0
1993,10323,0
1993,10326,0
1994,10323,0
1994,10326,0
1997,625,0
1997,12805,0
2001,7451,0
2010,6610,0
2010,6611,0
2011,10754,0
2011,10772,0
2015,6516,0
2015,6517,0
2016,6516,0
2016,6517,0
2034,6648,0
2034,6649,0
2081,6919,0
2081,6920,0
2110,7451,0
2110,7452,0
2111,7451,0
2111,7452,0
2127,7818,0
2127,7819,0
2127,8345,0
2127,8372,0
2128,2127,0
2128,7818,0
2128,7819,0
2128,8345,0
2128,8372,0
2147,7972,0
2147,7973,0
2148,7972,0
2148,7973,0
2161,2161,0
2165,605,0
2165,622,0
2167,704,0
2167,2167,0
2167,13330,0
2170,3633,0
2170,3641,0
2171,2171,0
2171,5933,0
2175,2175,0
2175,8341,0
2175,8375,0
2175,8376,0
2178,6218,0
2195,2195,0
2208,3167,0
2208,9403,0
2209,3167,0
2209,9403,0
2221,4470,0
2221,4471,0
2222,4470,0
2222,4471,0
2253,8357,0
2253,8360,0
2253,10859,0
2266,102,0
2266,103,0
2266,2266,0
2266,2267,0
2267,102,0
2267,103,0
2267,2266,0
2267,2267,0
2272,13067,0
2295,2295,0
2295,9169,0
2295,9185,0
2296,2296,0
2296,9169,0
2296,9185,0
2317,4434,0
2317,4435,0
2341,2341,0
2341,2342,0
2342,2341,0
2343,2343,0
2354,6513,0
2354,6531,0
2354,10747,0
2356,2356,0
2358,6565,0
2364,2365,0
2364,2367,0
2365,2364,0
2366,6617,0
2366,6628,0
2366,9642,0
2367,2364,0
2367,6617,0
2367,6628,0
2367,9642,0
2401,8580,0
2401,8581,0
2420,2420,0
2420,2421,0
2420,13594,0
2421,2420,0
2421,13594,0
2432,2432,0
